tipo,bairro,area,quartos,banheiros,vagas,condominio,preco
Apartamento,Varjota,3,3,0,2,1050.0,425000.0
Apartamento,Edson Queiroz,54,2,2,1,360.0,580000.0
Apartamento,Passaré,49,2,2,1,10.0,334000.0
Apartamento,Papicu,78,3,3,2,530.0,730000.0
Apartamento,Cocó,200,4,5,4,2050.0,1750000.0
Apartamento,Parque Dois Irmãos,57,2,2,2,490.0,340000.0
Apartamento,Aldeota,40,1,1,1,250.0,413000.0
Apartamento,Passaré,50,2,1,1,450.0,320000.0
Apartamento,Meireles,10,10,0,7,0.0,12500000.0
Apartamento,Guararapes,331,4,5,4,1400.0,2250000.0
Apartamento,Mucuripe,86,2,3,2,800.0,765000.0
Apartamento,Engenheiro Luciano Cavalcante,74,3,3,2,750.0,749000.0
Apartamento,José Bonifácio,105,3,3,2,0.0,899000.0
Apartamento,Mucuripe,221,3,4,4,2632.0,2399000.0
Apartamento,Aldeota,1,1,0,3,663.0,320000.0
Apartamento,Mondubim,44,2,1,1,250.0,198700.0
Apartamento,Mucuripe,86,2,2,2,690.0,720000.0
Apartamento,Engenheiro Luciano Cavalcante,75,2,3,2,779.0,740000.0
Apartamento,Engenheiro Luciano Cavalcante,90,3,2,1,850.0,319999.0
Apartamento,Antônio Bezerra,36,2,0,1,0.0,252275.0
Apartamento,Aldeota,218,4,4,4,0.0,2983106.0
Apartamento,Dunas,59,3,2,1,380.0,420000.0
Apartamento,Cocó,82,4,3,1,610.0,460000.0
Apartamento,Jacarecanga,70,3,2,2,530.0,480000.0
Apartamento,Meireles,297,4,5,3,2600.0,2500000.0
Apartamento,Parangaba,105,3,2,2,343.0,330000.0
Apartamento,Parreão,119,3,0,3,0.0,237000.0
Apartamento,Papicu,70,3,3,1,650.0,505000.0
Apartamento,Meireles,276,3,4,3,2900.0,1490000.0
Apartamento,Presidente Kennedy,53,3,3,2,0.0,423000.0
Apartamento,Engenheiro Luciano Cavalcante,112,4,4,3,0.0,950000.0
Apartamento,Aldeota,140,3,3,2,1080.0,1400000.0
Apartamento,Manoel Dias Branco,145,3,5,2,1200.0,1450000.0
Apartamento,Papicu,138,3,0,3,0.0,988200.0
Apartamento,Montese,91,3,2,2,373.0,310000.0
Apartamento,Aldeota,223,4,4,4,2531.0,900000.0
Apartamento,Papicu,65,3,2,2,550.0,550000.0
Apartamento,Aldeota,48,1,1,1,0.0,602210.0
Apartamento,Fátima,48,2,2,1,532.0,520000.0
Apartamento,Guararapes,72,3,0,2,500.0,750000.0
Apartamento,Meireles,311,4,6,4,2500.0,1600000.0
Apartamento,Vila União,60,2,2,1,1060.0,280000.0
Apartamento,Engenheiro Luciano Cavalcante,292,5,5,2,0.0,2490000.0
Apartamento,São Gerardo,91,3,3,2,704.0,680000.0
Apartamento,Varjota,72,3,0,2,890.0,942000.0
Apartamento,Cocó,128,3,2,4,1474.0,500000.0
Apartamento,Aldeota,65,2,2,2,800.0,1140000.0
Apartamento,Edson Queiroz,1,1,0,2,358.0,520000.0
Apartamento,Parquelândia,1,1,0,2,470.0,330000.0
Apartamento,Cambeba,60,3,3,2,0.0,324999.0
Apartamento,Meireles,254,4,0,5,0.0,4165000.0
Apartamento,Guararapes,220,3,6,4,2000.0,2300000.0
Apartamento,Engenheiro Luciano Cavalcante,1,1,0,2,0.0,429046.0
Apartamento,Cocó,114,3,3,1,751.0,390000.0
Apartamento,Papicu,77,3,2,2,0.0,752000.0
Apartamento,Dionisio Torres,115,3,0,3,0.0,1189531.0
Apartamento,Meireles,260,3,5,4,2414.0,2450000.0
Apartamento,Meireles,113,4,4,2,1500.0,1300000.0
Apartamento,Cocó,112,3,4,2,1200.0,625000.0
Apartamento,Aldeota,86,3,3,2,10.0,1024000.0
Apartamento,Guararapes,90,3,3,1,950.0,420000.0
Apartamento,Benfica,67,3,3,3,511.0,649000.0
Apartamento,Dunas,125,3,3,2,1200.0,1400000.0
Apartamento,Meireles,66,2,2,1,850.0,760000.0
Apartamento,Meireles,203,3,4,4,2600.0,3200000.0
Apartamento,Meireles,260,3,4,4,2898.0,2850000.0
Apartamento,Dunas,130,3,3,2,1200.0,1100000.0
Apartamento,Meireles,220,4,6,4,2400.0,1995000.0
Apartamento,Meireles,166,3,5,3,0.0,2100000.0
Apartamento,Aldeota,170,3,4,3,2650.0,690000.0
Apartamento,Benfica,5,2,3,2,0.0,916000.0
Apartamento,Varjota,152,3,5,3,1200.0,1850000.0
Apartamento,Jacarecanga,72,3,1,1,0.0,185000.0
Apartamento,Passaré,58,2,2,1,460.0,330000.0
Apartamento,Cocó,166,3,5,2,1730.0,660000.0
Apartamento,Maraponga,64,3,2,2,50.0,535000.0
Apartamento,Papicu,78,3,2,2,0.0,829921.0
Apartamento,São Gerardo,114,4,3,1,600.0,260000.0
Apartamento,Parque Del Sol,45,2,1,1,260.0,250000.0
Apartamento,Engenheiro Luciano Cavalcante,118,3,3,3,0.0,949000.0
Apartamento,Jóquei Clube,80,3,1,1,400.0,315000.0
Apartamento,Benfica,92,3,2,1,560.0,190000.0
Apartamento,Cocó,114,3,5,3,1100.0,620000.0
Apartamento,Aldeota,108,4,3,1,1200.0,259999.0
Apartamento,Praia de Iracema,38,1,1,1,456.0,530722.0
Apartamento,Meireles,200,4,4,2,2522.0,1750000.0
Apartamento,Benfica,100,4,0,3,820.0,390000.0
Apartamento,Papicu,78,3,3,2,490.0,808700.0
Apartamento,Varjota,182,4,5,2,1763.0,600000.0
Apartamento,Praia do Futuro I,340,5,6,6,2000.0,1300000.0
Apartamento,Cocó,126,3,4,2,1400.0,440000.0
Apartamento,Meireles,225,3,5,4,2500.0,2800000.0
Apartamento,Fátima,112,3,3,2,900.0,160000.0
Apartamento,Passaré,49,2,2,1,300.0,301195.0
Apartamento,Presidente Kennedy,72,3,2,1,380.0,485000.0
Apartamento,Meireles,60,1,0,1,0.0,894700.0
Apartamento,Guararapes,316,4,6,4,2300.0,2450000.0
Apartamento,Cambeba,89,3,2,2,0.0,795000.0
