tipo,bairro,area,quartos,banheiros,vagas,condominio,preco
Condomínio,Cambeba,360,4,5,4,1300.0,1800000.0
Condomínio,Alphaville Fortaleza,420,5,6,6,1250.0,2800000.0
Condomínio,de Lourdes,315,5,6,5,2000.0,2700000.0
Condomínio,de Lourdes,600,4,5,5,2000.0,6000000.0
Condomínio,Passaré,77,3,2,2,500.0,284000.0
Condomínio,Alphaville Fortaleza,420,4,5,4,980.0,4350000.0
Condomínio,Praia do Futuro,117,3,4,2,685.0,975000.0
Condomínio,Parque Santa Maria,70,3,3,2,380.0,229000.0
Condomínio,Passaré,150,3,2,3,300.0,340000.0
Condomínio,José de Alencar,260,4,5,5,0.0,450000.0
Condomínio,Edson Queiroz,176,4,4,4,0.0,980000.0
Condomínio,Messejana,120,2,3,2,380.0,229000.0
Condomínio,Alphaville Fortaleza,330,4,4,3,0.0,2995000.0
Condomínio,Edson Queiroz,181,4,4,3,1550.0,1050000.0
Condomínio,Joaquim Távora,522,4,5,5,0.0,1300000.0
Condomínio,Passaré,79,2,2,2,300.0,290000.0
Condomínio,Alphaville Fortaleza,750,5,7,8,1800.0,9500000.0
Condomínio,Messejana,103,3,4,2,50.0,429000.0
Condomínio,Papicu,132,3,4,2,700.0,490000.0
Condomínio,Praia do Futuro,185,3,4,2,1181.0,1606387.0
Condomínio,Jardim Cearense,240,4,0,0,606.0,1800000.0
Condomínio,Lagoa Redonda,172,3,3,2,950.0,1040000.0
Condomínio,Edson Queiroz,200,4,5,4,2500.0,1500000.0
Condomínio,Edson Queiroz,200,4,0,5,1550.0,720000.0
Condomínio,Lagoa Sapiranga (Coité),134,4,5,2,600.0,520000.0
Condomínio,Engenheiro Luciano Cavalcante,400,4,5,2,0.0,1450000.0
Condomínio,Cidade dos Funcionários,205,4,4,4,1312.0,1080000.0
Condomínio,Ancuri,90,3,2,2,0.0,310000.0
Condomínio,de Lourdes,557,4,4,4,3400.0,4250000.0
Condomínio,Alphaville Fortaleza,235,4,6,4,980.0,2700000.0
Condomínio,Maraponga,112,3,2,2,0.0,458900.0
Condomínio,de Lourdes,400,4,6,4,2300.0,2990000.0
Condomínio,Lagoa Redonda,215,4,4,5,0.0,1065000.0
Condomínio,Parque Manibura,116,3,3,3,800.0,550000.0
Condomínio,Cajazeiras,230,3,0,4,820.0,1270000.0
Condomínio,Alphaville Fortaleza,330,5,6,4,1100.0,2750000.0
Condomínio,de Lourdes,580,5,4,6,0.0,2000000.0
Condomínio,Eusébio,138,3,3,2,0.0,500000.0
Condomínio,Sapiranga,200,4,4,4,100.0,620000.0
Condomínio,Alphaville Fortaleza,457,5,7,4,1040.0,4300000.0
Condomínio,Montese,116,3,4,2,630.0,549999.0
Condomínio,José de Alencar,256,3,4,5,0.0,1200000.0
Condomínio,Maraponga,240,4,5,4,580.0,1880000.0
Condomínio,Messejana,131,3,4,4,1040.0,630000.0
Condomínio,Edson Queiroz,181,4,4,3,1720.0,1050000.0
Condomínio,Cocó,450,4,5,2,0.0,1300000.0
Condomínio,Lagoa Redonda,194,3,4,2,1300.0,890000.0
Condomínio,Lagoa Redonda,103,3,4,2,650.0,400000.0
Condomínio,Jardim das Oliveiras,139,3,0,2,300.0,310000.0
Condomínio,Maraponga,212,4,3,4,0.0,2000000.0
Condomínio,Jangurussu,67,2,2,1,0.0,225000.0
Condomínio,Sabiaguaba,229,3,4,3,1180.0,1380000.0
Condomínio,Lagoa Sapiranga (Coité),278,3,5,2,2000.0,1300000.0
Condomínio,Lagoa Redonda,165,3,4,3,700.0,580000.0
Condomínio,Alphaville Fortaleza,290,4,5,4,0.0,2900000.0
Condomínio,Passaré,170,4,3,4,0.0,650000.0
Condomínio,Engenheiro Luciano Cavalcante,478,4,5,5,0.0,1150000.0
Condomínio,José de Alencar,180,3,3,3,950.0,795000.0
Condomínio,Manoel Dias Branco,265,3,3,4,0.0,3200000.0
Condomínio,Parque Manibura,212,3,4,3,1107.0,550000.0
Condomínio,Dunas,180,3,4,2,1600.0,750000.0
Condomínio,Passaré,70,3,2,2,400.0,399000.0
Condomínio,Passaré,59,2,2,1,277.0,259000.0
Condomínio,Sapiranga,90,4,2,2,850.0,330000.0
Condomínio,Alphaville Fortaleza,923,5,7,8,1500.0,9000000.0
Condomínio,Maraponga,90,3,3,2,50.0,375000.0
Condomínio,Messejana,69,2,2,2,350.0,220000.0
Condomínio,Passaré,74,4,3,4,350.0,450000.0
Condomínio,José de Alencar,277,3,4,2,1900.0,1300000.0
Condomínio,Montese,153,3,1,4,0.0,330000.0
Condomínio,Alphaville Fortaleza,450,5,6,4,0.0,4800000.0
Condomínio,Lagoa Sapiranga (Coité),229,3,3,3,1500.0,1349300.0
Condomínio,Lagoa Redonda,118,4,3,3,630.0,570000.0
Condomínio,Bom Jardim,792,5,0,5,0.0,1250000.0
Condomínio,Engenheiro Luciano Cavalcante,186,4,5,4,0.0,1250000.0
Condomínio,Lagoa Redonda,86,2,2,2,620.0,315000.0
Condomínio,Praia do Futuro,117,3,3,2,685.0,931500.0
Condomínio,Edson Queiroz,170,3,4,3,900.0,480000.0
Condomínio,Cidade dos Funcionários,365,8,8,3,0.0,1200000.0
Condomínio,de Lourdes,800,4,6,10,0.0,5500000.0
Condomínio,Passaré,140,3,3,3,700.0,395000.0
Condomínio,Edson Queiroz,181,3,5,2,1550.0,1200000.0
Condomínio,Engenheiro Luciano Cavalcante,124,5,4,3,850.0,520000.0
Condomínio,Engenheiro Luciano Cavalcante,400,4,6,6,0.0,980000.0
Condomínio,de Lourdes,330,4,6,5,2000.0,5999000.0
Condomínio,José de Alencar,156,3,4,3,500.0,640000.0
Condomínio,Lagoa Sapiranga (Coité),1,4,6,5,396.0,1500000.0
Condomínio,Lagoa Redonda,82,3,2,3,620.0,379000.0
Condomínio,Sapiranga,134,5,5,2,600.0,520000.0
Condomínio,Eusébio,236,0,0,0,1370.0,1295000.0
